"COU ; Reporting country ; FLW ; Flow ; PAR ; Partner country ; CAT ; End-use ; IND ; Industry ; VAL ; Variable ; TIME ; Time ; Unit Code ; Unit ; PowerCode Code ; PowerCode ; Reference Period Code ; Reference Period ; Value ; Flag Codes ; Flags"
"USA ; United States ; EXPO ; Exports ; GBR ; United Kingdom ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 61430610.436 ;  ; "
"USA ; United States ; EXPO ; Exports ; BRA ; Brazil ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 46882040.131 ;  ; "
"USA ; United States ; EXPO ; Exports ; CHN ; China (People’s Republic of) ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 151065177.39 ;  ; "
"USA ; United States ; EXPO ; Exports ; IND ; India ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 40130034.962 ;  ; "
"USA ; United States ; EXPO ; Exports ; IDN ; Indonesia ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 9478654.263 ;  ; "
"USA ; United States ; EXPO ; Exports ; DZA ; Algeria ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 783625.136 ;  ; "
"USA ; United States ; EXPO ; Exports ; BEN ; Benin ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 319062.587 ;  ; "
"USA ; United States ; EXPO ; Exports ; BWA ; Botswana ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 52879.639 ;  ; "
"USA ; United States ; EXPO ; Exports ; BFA ; Burkina Faso ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 97206.58 ;  ; "
"USA ; United States ; EXPO ; Exports ; BDI ; Burundi ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 4455.854 ;  ; "
"USA ; United States ; EXPO ; Exports ; CMR ; Cameroon ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 152606.541 ;  ; "
"USA ; United States ; EXPO ; Exports ; CPV ; Cabo Verde ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 12594.041 ;  ; "
"USA ; United States ; EXPO ; Exports ; CAF ; Central African Republic ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 17508.193 ;  ; "
"USA ; United States ; EXPO ; Exports ; COG ; Congo (Brazzaville) ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 112186.056 ;  ; "
"USA ; United States ; EXPO ; Exports ; CIV ; Côte d'Ivoire ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 318745.814 ;  ; "
"USA ; United States ; EXPO ; Exports ; EGY ; Egypt ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 5786374.21 ;  ; "
"USA ; United States ; EXPO ; Exports ; ETH ; Ethiopia ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 585433.206 ;  ; "
"USA ; United States ; EXPO ; Exports ; GAB ; Gabon ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 95169.456 ;  ; "
"USA ; United States ; EXPO ; Exports ; GMB ; Gambia ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 54247.721 ;  ; "
"USA ; United States ; EXPO ; Exports ; GHA ; Ghana ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 983156.751 ;  ; "
"USA ; United States ; EXPO ; Exports ; GIN ; Guinea ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 151834.085 ;  ; "
"USA ; United States ; EXPO ; Exports ; KEN ; Kenya ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 551025.529 ;  ; "
