Column1;exporter;importer;secgroup;product;v2020;v2018;v2019
72;AES;AES;CAT;TT;227476.04591611;281739.772971007;259984.826825965
456;AES;AFA;CAT;TT;1437.590947011;1468.12750803936;1343.45510697091
840;AES;AFN;CAT;TT;5408.51944232412;6412.92510174707;6402.03706363634
1224;AES;AFR;CAT;TT;47568.9356177753;56280.9872355704;55060.2198045534
1608;AES;AFS;CAT;TT;16271.739594741;18221.0089050206;17416.1711708444
1992;AES;AFZ;CAT;TT;5154.15699527461;6469.52686096769;6009.53741873626
2376;AES;ALB;CAT;TT;48.0615229017681;46.3848518513547;35.1945597844839
2760;AES;AMA;CAT;TT;3111.56548915147;4322.73528130907;3255.15865746826
3144;AES;AME;CAT;TT;261774.777571937;219283.838658921;242306.169339185
3528;AES;AMN;CAT;TT;242977.386396681;196982.983638037;221804.349836318
3912;AES;AMS;CAT;TT;18797.3911752566;22300.8550208841;20501.8195028675
4296;AES;ANE;CAT;TT;495596.744084371;488959.116933601;484697.16357902
4680;AES;AOA;CAT;TT;2289.35532281674;3634.08072349447;3235.94360782398
5064;AES;AOZ;CAT;TT;8846.70595091591;10166.892961784;9876.31565396818
5448;AES;APEC;CAT;TT;995624.845395053;1002230.45895294;998133.041048779
5832;AES;ARG;CAT;TT;2459.67879929553;2896.80907725084;2555.9327170464
6216;AES;ASEA;CAT;TT;229128.183199695;283058.895424286;261626.033497424
6600;AES;ASO;CAT;TT;819654.156183175;895449.09952066;860180.786674158
6984;AES;ASS;CAT;TT;65151.094473197;84214.6193134679;80225.4782857852
7368;AES;AUS;CAT;TT;27301.8259457399;35208.5484649614;30328.6466212269
7752;AES;AUT;CAT;TT;2710.00499280062;2734.45469465922;2922.85727157263
8136;AES;BAL;CAT;TT;1164.98091980291;1061.88157394107;1183.92020834513
8520;AES;BEL;CAT;TT;4270.28170174847;4343.2314240262;4265.07939464876
8904;AES;BGD;CAT;TT;7605.94822587639;10007.3169315423;9851.06498431021
9288;AES;BGR;CAT;TT;505.663990488093;844.281717637407;637.455236576558
9672;AES;BIH;CAT;TT;133.298043781522;118.896660245473;135.583400049974
10056;AES;BLR;CAT;TT;212.037542280847;198.44952453134;230.853405157776
10440;AES;BLX;CAT;TT;4527.56079937765;4695.79035397464;4555.41509287841
10824;AES;BOL;CAT;TT;136.952094707325;212.745652255362;179.195842277785
11208;AES;BRA;CAT;TT;7453.78672558745;8461.71284140565;8341.90330816778
11592;AES;BRIC;CAT;TT;301613.4430756;272250.196094158;283354.181185857
11976;AES;BRN;CAT;TT;1652.13728358547;1319.12245327866;1641.20667145961
12360;AES;CAL;CAT;TT;16231.2999120606;20469.1325585958;18441.7997880236
12744;AES;CAN;CAT;TT;14781.9732245773;13571.6172374024;14755.6056076721
13128;AES;CAU;CAT;TT;395.51591657206;510.132322776949;481.563877098058
13512;AES;CEA;CAT;TT;198.933266755524;156.265781831584;193.631836202392
13896;AES;CEI;CAT;TT;12096.8654599403;12275.6701279142;12676.6720268001
14280;AES;CHE;CAT;TT;15888.4507567333;7519.3716903835;11575.3078834089
14664;AES;CHL;CAT;TT;2038.53525315668;2365.65160807233;2170.30178873596
15048;AES;CHN;CAT;TT;283152.90141188;253022.444973415;263793.811078275
