,exporter,importer,secgroup,product,v2020
49608,AES,TWN,CAT,TT,31953.7769744636
49992,AES,UE,CAT,TT,128457.213277079
50376,AES,UKR,CAT,TT,1314.01473097616
50760,AES,URY,CAT,TT,176.854504624508
51144,AES,USA,CAT,TT,202902.868100546
51528,AES,VEN,CAT,TT,70.3679459401823
51912,AES,VNM,CAT,TT,34220.0719295837
52296,AES,WLD,CAT,TT,1310610.328261
52680,AES,XXX,CAT,TT,3060.53566835961
53064,AES,YUG,CAT,TT,2053.5387997302
53448,AFA,AES,CAT,TT,1380.37079729702
53832,AFA,AFA,CAT,TT,235.698507806647
54216,AFA,AFN,CAT,TT,82.4742685706426
54600,AFA,AFR,CAT,TT,7406.03957041407
54984,AFA,AFS,CAT,TT,2955.25953716903
55368,AFA,AFZ,CAT,TT,1563.25072742079
55752,AFA,ALB,CAT,TT,0.347723069377174
56136,AFA,AMA,CAT,TT,1.09796323261592
56520,AFA,AME,CAT,TT,1379.37067291965
56904,AFA,AMN,CAT,TT,1191.0472620997
57288,AFA,AMS,CAT,TT,188.323410819945
57672,AFA,ANE,CAT,TT,6000.10604234341
58056,AFA,AOA,CAT,TT,0.514322369541959
58440,AFA,AOZ,CAT,TT,4.77243949290974
58824,AFA,APEC,CAT,TT,9017.82340156967
59208,AFA,ARG,CAT,TT,1.22137231676357
59592,AFA,ASEA,CAT,TT,1380.46446858513
59976,AFA,ASO,CAT,TT,9022.51008665197
60360,AFA,ASS,CAT,TT,1407.15060742097
60744,AFA,AUS,CAT,TT,220.790824092943
61128,AFA,AUT,CAT,TT,23.5215199344038
61512,AFA,BAL,CAT,TT,15.4255365393583
61896,AFA,BEL,CAT,TT,189.289628050894
62280,AFA,BGD,CAT,TT,23.6998839826626
62664,AFA,BGR,CAT,TT,10.7954797951692
63048,AFA,BIH,CAT,TT,2.6540137989293
63432,AFA,BLR,CAT,TT,5.94592611548054
63816,AFA,BLX,CAT,TT,192.814577466013
64200,AFA,BOL,CAT,TT,0.0461277808952374
64584,AFA,BRA,CAT,TT,70.030693
64968,AFA,BRIC,CAT,TT,5733.41977636204
65352,AFA,BRN,CAT,TT,0.0936712881173338
65736,AFA,CAL,CAT,TT,5.01196929466625
66120,AFA,CAN,CAT,TT,95.842698
66504,AFA,CAU,CAT,TT,13.9883884644431
66888,AFA,CEA,CAT,TT,2.47407079578026
67272,AFA,CEI,CAT,TT,287.165655610013
67656,AFA,CHE,CAT,TT,2781.50182073529
68040,AFA,CHL,CAT,TT,1.86213371785501
68424,AFA,CHN,CAT,TT,5556.28015543285
68808,AFA,CIV,CAT,TT,113.945221017815
69192,AFA,CMR,CAT,TT,29.9893357998004
69576,AFA,COL,CAT,TT,3.36371262057164
69960,AFA,CSK,CAT,TT,17.0543041656573
70344,AFA,CYP,CAT,TT,1.10197719676952
70728,AFA,CZE,CAT,TT,14.0293352123864
71112,AFA,DEU,CAT,TT,365.152360657092
71496,AFA,DEV,CAT,TT,8752.18878868837
71880,AFA,DNK,CAT,TT,17.1602187137811
72264,AFA,DZA,CAT,TT,4.87332769992411
72648,AFA,E15,CAT,TT,3883.52752532871
73032,AFA,E28,CAT,TT,4032.1528207226
73416,AFA,ECU,CAT,TT,1.44768048291724
